2024-05-31-13:19:56, 4732.179, 2135.552, 4.7, 0.063, 0.606, 9.154, -2.824, -2.046, -0.443
2024-05-31-13:19:56, 4732.179, 2135.552, 4.7, 0.024, 0.639, 9.097, -2.870, -1.908, -0.351
2024-05-31-13:19:56, 4732.179, 2135.552, 4.7, 0.067, 0.672, 9.093, -2.687, -2.000, -0.443
2024-05-31-13:19:56, 4732.179, 2135.552, 4.7, 0.056, 0.682, 9.157, -2.763, -1.908, -0.412
2024-05-31-13:19:56, 4732.179, 2135.552, 9.3, 0.072, 0.609, 9.176, -2.809, -1.847, -0.290
2024-05-31-13:19:57, 4732.179, 2135.552, 9.3, 0.090, 0.314, 9.495, -2.870, -1.985, -0.351
2024-05-31-13:19:57, 4732.179, 2135.552, 9.3, 0.047, 0.612, 9.175, -2.840, -1.908, -0.443
2024-05-31-13:19:57, 4732.179, 2135.552, 9.3, 0.051, 0.605, 9.139, -2.779, -1.969, -0.443
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.095, 0.624, 9.205, -2.809, -1.908, -0.412
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.086, 0.601, 9.179, -2.824, -1.878, -0.382
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.072, 0.643, 9.127, -2.824, -1.893, -0.412
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.061, 0.655, 9.171, -2.901, -1.863, -0.351
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.061, 0.615, 9.182, -2.733, -2.015, -0.351
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.074, 0.593, 9.147, -2.824, -1.924, -0.473
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.034, 0.633, 9.179, -2.916, -1.939, -0.351
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.060, 0.662, 9.084, -2.855, -1.893, -0.504
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.051, 0.590, 9.108, -2.763, -1.893, -0.336
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.072, 0.646, 9.154, -2.672, -2.000, -0.382
2024-05-31-13:19:57, 4732.179, 2135.552, 2.2, 0.105, 0.907, 9.159, -2.977, -1.832, -0.351
2024-05-31-13:19:57, 4732.179, 2135.552, 9.3, 0.034, 0.633, 9.141, -2.870, -1.893, -0.397
2024-05-31-13:19:58, 4732.179, 2135.552, 9.3, 0.066, 0.594, 9.120, -2.931, -1.924, -0.458
2024-05-31-13:19:58, 4732.179, 2135.552, 9.3, 0.067, 0.603, 9.170, -2.855, -1.969, -0.351
2024-05-31-13:19:58, 4732.179, 2135.552, 9.3, 0.066, 0.306, 9.134, -2.824, -1.817, -0.427
